date,hour,home_team,away_team,score,home_goals,away_goals,datetime,odds_1,result,over_under_25,odds_over_under_25,goal_no_goal,odds_goal_no_goal
13-05-2025,14:34:00,Messico,Uruguay,0-0,0,0,2025-05-13 14:34:00,317,X,"Under 2,5 Goal",128,NG,137
13-05-2025,14:28:00,Portogallo,Spagna,0-2,0,2,2025-05-13 14:28:00,225,2,"Under 2,5 Goal",130,NG,138
13-05-2025,14:22:00,Svizzera,Uruguay,0-0,0,0,2025-05-13 14:22:00,318,X,"Under 2,5 Goal",129,NG,137
13-05-2025,14:16:00,Inghilterra,Italia,1-0,1,0,2025-05-13 14:16:00,226,1,"Under 2,5 Goal",130,NG,138
13-05-2025,14:10:00,Danimarca,Serbia,0-0,0,0,2025-05-13 14:10:00,316,X,"Under 2,5 Goal",128,NG,137
13-05-2025,14:04:00,Spagna,Uruguay,0-1,0,1,2025-05-13 14:04:00,232,2,"Under 2,5 Goal",130,NG,138
13-05-2025,13:58:00,Serbia,Svizzera,0-1,0,1,2025-05-13 13:58:00,221,2,"Under 2,5 Goal",129,NG,136
13-05-2025,13:52:00,Portogallo,Uruguay,1-0,1,0,2025-05-13 13:52:00,233,1,"Under 2,5 Goal",130,NG,138
13-05-2025,13:46:00,Olanda,Serbia,0-0,0,0,2025-05-13 13:46:00,311,X,"Under 2,5 Goal",130,NG,139
13-05-2025,13:40:00,Nigeria,Olanda,3-0,3,0,2025-05-13 13:40:00,292,1,"Over 2,5 Goal",248,NG,139
13-05-2025,13:34:00,Messico,Turchia,1-0,1,0,2025-05-13 13:34:00,222,1,"Under 2,5 Goal",130,NG,138
13-05-2025,13:28:00,Francia,Svizzera,2-2,2,2,2025-05-13 13:28:00,326,X,"Over 2,5 Goal",247,GG,222
13-05-2025,13:22:00,Colombia,Turchia,1-0,1,0,2025-05-13 13:22:00,310,1,"Under 2,5 Goal",128,NG,138
13-05-2025,13:16:00,Cile,Turchia,0-1,0,1,2025-05-13 13:16:00,251,2,"Under 2,5 Goal",128,NG,137
13-05-2025,13:10:00,Inghilterra,Portogallo,2-0,2,0,2025-05-13 13:10:00,228,1,"Under 2,5 Goal",130,NG,138
13-05-2025,13:04:00,Germania,Serbia,3-0,3,0,2025-05-13 13:04:00,210,1,"Over 2,5 Goal",247,NG,139
